TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,
1,,50,35,15,0.7,48.6,117.6,41.8,88.5,47.2,15.5,41.7,37,18.6,22.4,82.9,9.7,34.9,44.7,26.5,13.6,6.4,5.4,3.9,18.9,19.6,5.5
,Boston Celtics,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,49,34,15,0.694,48.2,116.5,43.7,86.1,50.7,12.1,30.7,39.5,17,22.8,74.3,10.2,32.7,42.9,28.6,15,7.5,4.4,4.4,19.4,20.2,4
,Denver Nuggets,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,47,31,16,0.66,48.5,114.6,40.9,84.7,48.2,12.8,33.4,38.2,20.1,24.2,83,8.6,31.9,40.6,25.1,14,8,4.9,5,20.7,19.9,3.9
,Philadelphia 76ers,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,48,31,17,0.646,48.2,117.1,43.7,93.1,47,11.5,32.9,34.9,18.2,25.5,71.1,13.3,35.4,48.7,25.4,14.3,8.1,6,5.4,20.2,21.5,4.5
,Memphis Grizzlies,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,48,31,17,0.646,48.4,113.1,41,89.5,45.8,14.2,39.5,35.9,16.8,22.6,74.2,11.8,36.5,48.3,24.7,15.5,6.7,5.1,4.3,18.3,18.7,1.6
,Milwaukee Bucks,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,48,29,19,0.604,48.1,114.3,42.8,84,50.9,12.2,31.2,39,16.5,20.9,78.9,7.6,32.8,40.4,26.3,14.7,7,6.9,3.8,22,18.4,2.7
,Brooklyn Nets,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,50,30,20,0.6,48.7,111.5,40.8,84.4,48.3,11.5,31.5,36.4,18.5,23.7,77.8,9.8,32.5,42.3,24.1,14,6.6,4.2,4.3,18.7,21.2,4.6
,Cleveland Cavaliers,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,47,27,20,0.574,48.1,119.7,43.2,87.4,49.5,13.7,36.8,37.2,19.6,24.7,79.5,9,33.2,42.1,27.2,14.4,6.7,3.3,4.3,20,21.3,3.1
,Sacramento Kings,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,49,27,22,0.551,48.3,108.4,39.2,86.6,45.3,11.9,35.4,33.5,18.2,22,82.6,10.1,31.5,41.6,23.5,13.6,8.5,3,3.9,18.8,19.7,0.3
,Miami Heat,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,50,27,23,0.54,48.7,114.2,41.2,90,45.7,12,34.9,34.5,19.9,25.7,77.3,13.2,34.1,47.3,22.5,13.1,6.3,4.2,4.7,20.6,21.3,2
,New York Knicks,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,49,26,23,0.531,48.6,115.3,42.2,88.2,47.8,11,30.8,35.8,19.9,25.6,77.8,11.2,33.2,44.4,25.9,15.3,8.5,4.3,5.1,20.4,20.8,2.3
,New Orleans Pelicans,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,51,27,24,0.529,48.2,110.7,40.1,85.3,47,12.7,33.4,38,17.9,23.4,76.6,10,33.7,43.8,22.9,14.6,6.5,4.7,4.4,19.7,19.1,0.3
,LA Clippers,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,50,26,24,0.52,48.7,112.6,39.2,83.1,47.1,14.7,40.5,36.2,19.6,26.4,74.3,7.8,31,38.7,22,12.3,6.5,4,4,21,22.7,0.4
,Dallas Mavericks,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,49,25,24,0.51,48.5,116.1,43.8,91.7,47.8,10.6,30.7,34.6,17.8,21.8,81.9,10.2,33.2,43.4,24.2,13.1,6.9,5,5,19.1,20.1,-0.4
,Atlanta Hawks,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,48,24,24,0.5,48.4,117.7,42.5,90.1,47.2,16.4,43.3,37.8,16.3,20.5,79.5,10.2,33.9,44.1,29.3,16.7,7,3.9,4.2,22.3,18.8,-0.3
,Golden State Warriors,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,50,25,25,0.5,48.1,115.2,42.5,86.4,49.2,11.6,32.7,35.4,18.6,23.9,77.9,9,31.9,40.9,25.2,15.7,8.4,5.4,4.1,22,20.3,-0.2
,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,50,25,25,0.5,48.3,112.6,41.4,89.7,46.2,13,33.4,38.8,16.8,21.1,79.5,11.8,31.9,43.7,26.9,14.3,6.8,5.1,4.2,21.2,20.2,1.2
,Phoenix Suns,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,51,25,26,0.49,48.3,117.7,42.2,89.2,47.3,14.5,39.5,36.8,18.7,23.8,78.5,11.6,32.6,44.2,25.9,15.2,6.8,4.8,4.8,20.8,21,1.1
,Utah Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,50,24,26,0.48,48.1,115.1,41,89.8,45.6,13.9,38.4,36.2,19.2,24,80.1,10.3,31.9,42.2,26.5,15.3,8.1,6,5.2,21.5,20.4,-1.7
,Indiana Pacers,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,48,23,25,0.479,48.6,116.9,43.4,92.9,46.7,12.1,33.7,35.9,17.9,22.6,79.2,11.4,32.6,44.1,24.6,13.7,8.1,5.1,5.4,21.9,19.8,0.9
,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,48,23,25,0.479,48.2,114,40.6,84.6,48,12.9,34.2,37.6,19.9,25.3,78.5,10.4,32.4,42.8,24.4,15.2,6.6,4.3,4.5,20.9,21.5,0.7
,Portland Trail Blazers,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,49,23,26,0.469,48.5,117,43.2,89.4,48.3,10.5,31.1,33.7,20.1,25.5,78.9,9.3,35.6,44.9,24.9,14.1,6.7,4.8,5.3,18.5,21.1,-1
,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,48,22,26,0.458,48.5,114.2,42.7,87.7,48.7,10.6,29,36.4,18.3,22.4,81.5,8.7,33.8,42.5,24.2,13.6,7.6,4.6,5.2,19.8,19,-0.4
,Chicago Bulls,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,48,22,26,0.458,48.2,112.7,41.7,87.2,47.9,11.1,31.9,34.9,18.1,23.4,77.6,9.5,34.6,44.2,25.2,13.8,6.8,5.3,4.6,19.5,19.7,-0.7
,Washington Wizards,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,49,22,27,0.449,48.4,112.6,40.9,90.4,45.2,10.9,32.6,33.4,20,25.3,79.1,12.4,30,42.4,23.2,11.9,9.4,5.3,4.5,20.4,21.1,0.6
,Toronto Raptors,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,48,19,29,0.396,48.2,111.3,40.2,85,47.3,11,31.1,35.3,19.9,25.2,79.1,9.8,32.8,42.6,22.7,15.3,6.9,4.8,5,20.4,20.1,-3.2
,Orlando Magic,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,49,14,35,0.286,48.1,112.6,43,91.1,47.1,10.8,31.1,34.5,15.9,21.5,74.2,12,30.8,42.8,27,15.4,6.9,4,4.7,19.9,19,-9.5
,San Antonio Spurs,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,50,14,36,0.28,48.6,112,41.8,92.4,45.2,10.7,33,32.4,17.8,23.7,75.1,12,33,45,25.2,13.7,8,5,6,21.1,20.8,-6.6
,Charlotte Hornets,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,50,13,37,0.26,48.3,112.8,40,87.9,45.5,11.7,32.9,35.7,21.1,27.2,77.5,11.1,31.5,42.6,22.7,14.8,7.2,3.6,5.8,22,21.7,-7.5
,Detroit Pistons,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,49,11,38,0.224,48.2,109.4,39.7,88.3,44.9,11.2,34.3,32.7,18.9,25.2,75,13.1,33.7,46.8,22.4,17.1,7.2,4.8,6.1,20.6,21.2,-7.7
,Houston Rockets,,,,,,,,,,,,,,,,,,,,,,,,,,
